symbol,ex,basis_bps,funding_bps,fee_bps,slippage_bps,space_bps,annual_pct,ts
SOL,kucoin,-1.44,0,20.0,5.0,-26.44,0,2026-08-09T08:39:45+00:00
XRP,bitget,-1.93,0,20.0,5.0,-26.93,0,2026-08-09T08:39:45+00:00
BNB,kucoin,-2.87,0,20.0,5.0,-27.87,0,2026-08-09T08:39:45+00:00
BTC,kucoin,-3.25,0,20.0,5.0,-28.25,0,2026-08-09T08:39:45+00:00
ETH,bitget,-3.28,0,20.0,5.0,-28.28,0,2026-08-09T08:39:45+00:00
BNB,okx,-3.32,0,20.0,5.0,-28.32,0,2026-08-09T08:39:45+00:00
BNB,gate,-3.32,0,20.0,5.0,-28.32,0,2026-08-09T08:39:45+00:00
XRP,kucoin,-3.58,0,20.0,5.0,-28.58,0,2026-08-09T08:39:45+00:00
XRP,okx,-3.87,0,20.0,5.0,-28.87,0,2026-08-09T08:39:45+00:00
SOL,bitget,-4.19,0,20.0,5.0,-29.19,0,2026-08-09T08:39:45+00:00
ETH,kucoin,-4.74,0,20.0,5.0,-29.74,0,2026-08-09T08:39:45+00:00
ETH,okx,-5.16,0,20.0,5.0,-30.16,0,2026-08-09T08:39:45+00:00
ETH,gate,-5.37,0,20.0,5.0,-30.37,0,2026-08-09T08:39:45+00:00
BTC,bitget,-5.4,0,20.0,5.0,-30.4,0,2026-08-09T08:39:45+00:00
BTC,okx,-5.62,0,20.0,5.0,-30.62,0,2026-08-09T08:39:45+00:00
BTC,gate,-5.66,0,20.0,5.0,-30.66,0,2026-08-09T08:39:45+00:00
DOGE,okx,-5.7,0,20.0,5.0,-30.7,0,2026-08-09T08:39:45+00:00
DOGE,bitget,-5.7,0,20.0,5.0,-30.7,0,2026-08-09T08:39:45+00:00
DOGE,gate,-5.7,0,20.0,5.0,-30.7,0,2026-08-09T08:39:45+00:00
XRP,gate,-5.8,0,20.0,5.0,-30.8,0,2026-08-09T08:39:45+00:00
SOL,okx,-6.55,0,20.0,5.0,-31.55,0,2026-08-09T08:39:45+00:00
SOL,gate,-6.55,0,20.0,5.0,-31.55,0,2026-08-09T08:39:45+00:00
DOGE,kucoin,-7.13,0,20.0,5.0,-32.13,0,2026-08-09T08:39:45+00:00
BNB,bitget,-8.96,0,20.0,5.0,-33.96,0,2026-08-09T08:39:45+00:00
SOL,kucoin,-0.92,1.0,20.0,5.0,-26.92,0,2026-08-09T08:40:23+00:00
SOL,gate,-3.93,0.28,20.0,5.0,-29.21,0,2026-08-09T08:40:23+00:00
BTC,kucoin,-3.62,0.63,20.0,5.0,-29.25,0,2026-08-09T08:40:23+00:00
ETH,gate,-5.06,-0.32,20.0,5.0,-29.74,0,2026-08-09T08:40:23+00:00
SOL,okx,-3.93,0.94,20.0,5.0,-29.88,0,2026-08-09T08:40:23+00:00
BTC,okx,-4.84,0.07,20.0,5.0,-29.91,0,2026-08-09T08:40:23+00:00
BTC,gate,-5.45,-0.02,20.0,5.0,-30.43,0,2026-08-09T08:40:23+00:00
SOL,bitget,-4.59,1.0,20.0,5.0,-30.59,0,2026-08-09T08:40:23+00:00
ETH,okx,-5.21,0.54,20.0,5.0,-30.76,0,2026-08-09T08:40:23+00:00
