ts,size,pool_a,pool_b,price_a,price_b,spread_bps,corridor_bps,exit_bps,fee_a,fee_b,dev_a,dev_b,suspect,slot_a,slot_b,slot_now,blockhash8,state
2026-08-24 02:30:35 UTC,100,Raydium,Whirlpool,94.166775,94.726712,59.5,35,24.5,30,5,0.0,59.5,False,441295900,441295935,441295906,HB15bVs1,ok
2026-08-24 15:45:05 UTC,100,Raydium,Raydium CLMM,95.81006,96.41895,63.6,35,28.6,30,5,0.0,63.6,False,441426506,441426544,441426514,6XTRZpzC,ok
2026-08-24 15:45:05 UTC,100,Raydium,Raydium CLMM,95.81006,96.42965,64.7,35,29.7,30,5,0.0,64.7,False,441426506,441426544,441426514,6XTRZpzC,ok
2026-08-26 00:41:29 UTC,100,Raydium,Raydium CLMM,95.727156,96.311184,61.0,35,26.0,30,5,0.0,61.0,False,441750606,441750641,441750613,2wpiFAKA,ok
2026-08-26 00:41:29 UTC,100,Raydium,Whirlpool,95.727156,96.311392,61.0,35,26.0,30,5,0.0,61.0,False,441750606,441750641,441750613,2wpiFAKA,ok
2026-08-26 17:28:32 UTC,100,Raydium,Whirlpool,96.254699,96.851376,62.0,35,27.0,30,5,0.0,62.0,False,441916031,441916078,441916058,E2sURsKz,ok
2026-08-26 21:13:42 UTC,100,Raydium,Whirlpool,96.794074,97.386725,61.2,35,26.2,30,5,0.0,61.2,False,441952889,441952938,441952913,58wTfCE4,ok
2026-08-27 00:51:28 UTC,0.1,Raydium,Whirlpool,100.641897,101.21574,57.0,35,22.0,30,5,0.0,57.0,False,441988581,441988614,441988595,5DMWeUxp,ok
2026-08-27 00:51:28 UTC,10,Raydium,Whirlpool,100.627228,101.211715,58.1,35,23.1,30,5,0.0,58.1,False,441988581,441988615,441988595,5DMWeUxp,ok
2026-08-27 14:04:25 UTC,0.1,Raydium,GoonFi V2,105.609011,106.60474,94.3,60,34.3,30,30,0.0,94.3,False,442118858,442118893,442118890,FPRZnxhB,ok
2026-08-27 14:04:25 UTC,1,Raydium,Flux,105.60758,106.579236,92.0,60,32.0,30,30,0.0,92.0,False,442118858,442118897,442118890,FPRZnxhB,ok
2026-08-27 14:04:25 UTC,10,Raydium,PancakeSwap,105.59327,106.517228,87.5,60,27.5,30,30,0.0,87.5,False,442118858,442118902,442118890,FPRZnxhB,ok
2026-08-27 14:04:25 UTC,10,Raydium,BisonFi,105.59327,106.518822,87.7,60,27.7,30,30,0.0,87.7,False,442118858,442118902,442118890,FPRZnxhB,ok
2026-08-27 14:04:25 UTC,10,Raydium,Kipseli,105.59327,106.526034,88.3,60,28.3,30,30,0.0,88.3,False,442118858,442118902,442118890,FPRZnxhB,ok
2026-08-27 14:04:25 UTC,100,Raydium,Meteora DLMM,105.450382,106.357727,86.0,55,31.0,30,25,0.0,86.0,False,442118858,442118911,442118890,FPRZnxhB,ok
2026-08-27 14:04:25 UTC,100,Raydium,Raydium CLMM,105.450382,106.361803,86.4,35,51.4,30,5,0.0,86.4,False,442118858,442118911,442118890,FPRZnxhB,ok
2026-08-27 14:04:25 UTC,100,Raydium,Quantum,105.450382,106.37477,87.7,60,27.7,30,30,0.0,87.7,False,442118858,442118911,442118890,FPRZnxhB,ok
2026-08-28 00:18:19 UTC,100,Raydium,Whirlpool,108.881418,109.505822,57.3,35,22.3,30,5,0.0,57.3,False,442219275,442219315,442219292,3wy6twY7,ok
2026-08-28 02:35:09 UTC,0.1,Raydium,Raydium CLMM,106.469376,107.12116,61.2,35,26.2,30,5,0.0,61.2,False,442241657,442241708,442241712,k93v2Z72,ok
