ts,size,pool_a,pool_b,spread_bps,corridor_bps,exit_bps,dev_a,dev_b,suspect,slot_a,slot_b,slot_now,blockhash8,state
2026-08-24 01:28:06 UTC,0.1,Raydium,Raydium CLMM,4.7,35,-30.3,0.0,4.7,False,441285616,441285648,441285621,EmPRq4MV,ok
2026-08-24 01:28:06 UTC,1,Raydium,Quantum,6.1,60,-53.9,0.0,6.1,False,441285616,441285648,441285621,EmPRq4MV,ok
2026-08-24 01:28:06 UTC,10,Raydium,Quantum,7.3,60,-52.7,0.0,7.3,False,441285616,441285649,441285621,EmPRq4MV,ok
2026-08-24 01:28:06 UTC,100,Raydium,Quantum,19.9,60,-40.1,0.0,19.9,False,441285616,441285650,441285621,EmPRq4MV,ok
2026-08-24 01:28:06 UTC,100,Raydium,BisonFi,19.6,60,-40.4,0.0,19.6,False,441285616,441285650,441285621,EmPRq4MV,ok
2026-08-24 01:28:06 UTC,100,Raydium,Flux,20.3,60,-39.7,0.0,20.3,False,441285616,441285650,441285621,EmPRq4MV,ok
2026-08-24 01:28:06 UTC,100,Quantum,BisonFi,-0.3,60,-59.7,19.9,19.6,False,441285650,441285650,441285621,EmPRq4MV,ok
2026-08-24 01:28:06 UTC,100,Quantum,Flux,0.4,60,-59.6,19.9,20.3,False,441285650,441285650,441285621,EmPRq4MV,ok
2026-08-24 01:28:06 UTC,100,BisonFi,Flux,0.7,60,-59.3,19.6,20.3,False,441285650,441285650,441285621,EmPRq4MV,ok
2026-08-24 01:28:09 UTC,0.1,Raydium,Raydium CLMM,2.9,35,-32.1,0.0,2.9,False,441285625,441285657,441285631,EdJNdNbN,ok
2026-08-24 01:30:24 UTC,0.1,Raydium,Byreal,11.6,60,-48.4,0.0,11.6,False,441285994,441286025,441285999,HaMSyvYJ,ok
2026-08-24 01:30:24 UTC,1,Raydium,PancakeSwap,8.6,60,-51.4,0.0,8.6,False,441285994,441286027,441285999,HaMSyvYJ,ok
2026-08-24 01:30:24 UTC,10,Raydium,ZeroFi,9.7,60,-50.3,0.0,9.7,False,441285994,441286027,441285999,HaMSyvYJ,ok
2026-08-24 01:30:24 UTC,100,Raydium,Scorch,24.1,60,-35.9,0.0,24.1,False,441285994,441286028,441285999,HaMSyvYJ,ok
2026-08-24 01:30:24 UTC,100,Raydium,BisonFi,23.8,60,-36.2,0.0,23.8,False,441285994,441286028,441285999,HaMSyvYJ,ok
2026-08-24 01:30:24 UTC,100,Scorch,BisonFi,-0.3,60,-59.7,24.1,23.8,False,441286028,441286028,441285999,HaMSyvYJ,ok
2026-08-24 02:00:28 UTC,0.1,Raydium,Quantum,34.9,60,-25.1,0.0,34.9,False,441290967,441290998,441290972,DAX5PAQo,ok
