ts,symbol,contract,spot,spread_bps,contract_vol,oi
2026-08-03 02:00,HFT,0.00866,0.00867,-11.5,5750668.0,199249731.0
2026-08-03 03:00,HFT,0.00733,0.00733,0.0,385081597.0,199266527.0
2026-08-03 04:00,HFT,0.00764,0.007646,-7.8,251861477.0,232969591.0
2026-08-03 05:00,HFT,0.00751,0.007504,8.0,79062953.0,222662330.0
2026-08-03 06:00,HFT,0.00727,0.00727,0.0,39188369.0,212221781.0
2026-08-03 07:00,HFT,0.00715,0.007148,2.8,26042063.0,214447360.0
2026-08-03 08:00,HFT,0.00716,0.007144,22.4,49424067.0,216815614.0
2026-08-03 09:00,HFT,0.00731,0.007303,9.6,49898787.0,220103214.0
2026-08-03 10:00,HFT,0.00714,0.007134,8.4,34320806.0,219695028.0
2026-08-03 11:00,HFT,0.00711,0.007102,11.3,28949705.0,220536659.0
2026-08-03 12:00,HFT,0.00728,0.007287,-9.6,29670011.0,218624024.0
2026-08-03 13:00,HFT,0.00855,0.008528,25.8,201526330.0,220076702.0
2026-08-03 14:00,HFT,0.00999,0.00996,30.1,256806138.0,243822331.0
2026-08-03 15:00,HFT,0.00997,0.009949,21.1,113960197.0,265720314.0
2026-08-03 16:00,HFT,0.00883,0.008791,44.4,163349310.0,263266260.0
2026-08-03 17:00,HFT,0.00869,0.008642,55.5,54000882.0,250787839.0
2026-08-03 18:00,HFT,0.00843,0.008396,40.5,31172281.0,245902469.0
2026-08-03 19:00,HFT,0.00847,0.008431,46.3,18460111.0,241897229.0
2026-08-03 20:00,HFT,0.00842,0.008397,27.4,14435008.0,238318947.0
2026-08-03 21:00,HFT,0.0091,0.009049,56.4,79789924.0,239405156.0
2026-08-03 22:00,HFT,0.00932,0.009295,26.9,58056902.0,249358472.0
2026-08-03 23:00,HFT,0.00936,0.009343,18.2,53757750.0,252226133.0
2026-08-04 00:00,HFT,0.00904,0.009033,7.7,42003099.0,246547635.0
2026-08-04 01:00,HFT,0.00901,0.008996,15.6,71577901.0,245601751.0
2026-08-04 02:00,HFT,0.01139,0.011377,11.4,1196644638.0,246755001.0
2026-08-04 03:00,HFT,0.00938,0.009383,-3.2,1098761116.0,317819652.0
2026-08-04 04:00,HFT,0.00932,0.009319,1.1,399029056.0,271562387.0
2026-08-04 05:00,HFT,0.0093,0.009284,17.2,123227100.0,285358979.0
2026-08-04 06:00,HFT,0.00945,0.009445,5.3,135103290.0,278332914.0
2026-08-04 07:00,HFT,0.00931,0.009319,-9.7,111856033.0,291685877.0
2026-08-04 08:00,HFT,0.00988,0.009896,-16.2,331916819.0,294318795.0
2026-08-04 09:00,HFT,0.00952,0.009504,16.8,378743831.0,309958163.0
2026-08-04 10:00,HFT,0.0098,0.00974,61.6,183297782.0,300273463.0
2026-08-04 11:00,HFT,0.00978,0.009745,35.9,369573029.0,307236509.0
2026-08-04 12:00,HFT,0.01006,0.010057,3.0,141379267.0,317714708.0
2026-08-04 13:00,HFT,0.00985,0.009814,36.7,149694285.0,319381165.0
2026-08-04 14:00,HFT,0.00997,0.009908,62.6,95457272.0,298417615.0
2026-08-04 15:00,HFT,0.01005,0.009999,51.0,47606068.0,301547123.0
2026-08-04 16:00,HFT,0.01062,0.01057,47.3,87027547.0,298976466.0
2026-08-04 17:00,HFT,0.01058,0.010521,56.1,137980014.0,293586459.0
2026-08-04 18:00,HFT,0.0107,0.010665,32.8,69712056.0,285562564.0
2026-08-04 19:00,HFT,0.0109,0.01087,27.6,85376122.0,282157832.0
2026-08-04 20:00,HFT,0.01146,0.011374,75.6,164955565.0,285373122.0
2026-08-04 21:00,HFT,0.01161,0.011528,71.1,211701878.0,299096886.0
2026-08-04 22:00,HFT,0.01228,0.012219,49.9,95319828.0,303935257.0
2026-08-04 23:00,HFT,0.01169,0.011701,-9.4,155580207.0,302668822.0
2026-08-05 00:00,HFT,0.01128,0.011227,47.2,146596890.0,303965665.0
2026-08-05 01:00,HFT,0.01085,0.010774,70.5,124709485.0,306289678.0
2026-08-05 02:00,HFT,0.01123,0.01116,62.7,113540929.0,305626954.0
2026-08-05 03:00,HFT,0.01203,0.01199,33.4,186111803.0,302628823.0
2026-08-05 04:00,HFT,0.01428,0.014238,29.5,720387315.0,326401288.0
2026-08-05 05:00,HFT,0.01578,0.015686,59.9,626029855.0,352591770.0
2026-08-05 06:00,HFT,0.01677,0.016669,60.6,482201754.0,393732822.0
2026-08-05 07:00,HFT,0.01719,0.017178,7.0,575311952.0,425573477.0
2026-08-05 08:00,HFT,0.01715,0.017081,40.4,490937366.0,464794486.0
2026-08-05 09:00,HFT,0.01646,0.016409,31.1,935823441.0,475822980.0
2026-08-05 10:00,HFT,0.01713,0.017107,13.4,457395822.0,446375485.0
2026-08-05 11:00,HFT,0.01844,0.018418,11.9,337426742.0,446609809.0
2026-08-05 12:00,HFT,0.01944,0.019429,5.7,467035211.0,445020148.0
2026-08-05 13:00,HFT,0.01833,0.018265,35.6,383955761.0,442200463.0
2026-08-05 14:00,HFT,0.01628,0.016224,34.5,561744378.0,437897370.0
2026-08-05 15:00,HFT,0.01783,0.017798,18.0,420722358.0,434214079.0
2026-08-05 16:00,HFT,0.01724,0.017137,60.1,291426066.0,434196922.0
2026-08-05 17:00,HFT,0.01924,0.019071,88.6,403886811.0,428520750.0
2026-08-05 18:00,HFT,0.01964,0.019523,59.9,360546966.0,415205577.0
2026-08-05 19:00,HFT,0.01823,0.018114,64.0,258576269.0,414863473.0
2026-08-05 20:00,HFT,0.01807,0.017959,61.8,137272724.0,405893603.0
2026-08-05 21:00,HFT,0.01811,0.018008,56.6,99869380.0,414421289.0
2026-08-05 22:00,HFT,0.0182,0.018151,27.0,118181136.0,417448435.0
2026-08-05 23:00,HFT,0.01826,0.018161,54.5,69559951.0,415562648.0
2026-08-06 00:00,HFT,0.01821,0.018104,58.6,115979226.0,417286384.0
2026-08-06 01:00,HFT,0.01823,0.018105,69.0,205083102.0,421408442.0
2026-08-06 02:00,HFT,0.0181,0.017955,80.8,145873077.0,424498399.0
2026-08-06 03:00,HFT,0.01758,0.017448,75.7,187557110.0,428495985.0
2026-08-06 04:00,HFT,0.02071,0.020476,114.3,472185767.0,437198242.0
2026-08-06 05:00,HFT,0.02284,0.022747,40.9,536061591.0,451660955.0
2026-08-06 06:00,HFT,0.02155,0.021364,87.1,355953592.0,436341165.0
2026-08-06 07:00,HFT,0.02271,0.022586,54.9,317581177.0,451445161.0
2026-08-06 08:00,HFT,0.02056,0.020402,77.4,210059455.0,455833991.0
2026-08-06 09:00,HFT,0.01957,0.019475,48.8,235162848.0,454844170.0
2026-08-06 10:00,HFT,0.02264,0.022532,47.9,195461026.0,457165656.0
2026-08-06 11:00,HFT,0.02691,0.026713,73.7,739097388.0,478391970.0
2026-08-06 12:00,HFT,0.02886,0.028548,109.3,433458448.0,493875095.0
2026-08-06 13:00,HFT,0.03149,0.031135,114.0,674535377.0,500420797.0
2026-08-06 14:00,HFT,0.03124,0.030713,171.6,755683522.0,524467775.0
2026-08-06 15:00,HFT,0.03233,0.03184,153.9,1255487062.0,521766128.0
