ts,symbol,ex,basis_bps
2026-08-09T02:19:49+00:00,BTC,okx,-4.30
2026-08-09T02:19:50+00:00,ETH,okx,-4.70
2026-08-09T02:19:52+00:00,SOL,okx,-5.27
2026-08-09T02:19:53+00:00,DOGE,okx,-4.28
2026-08-09T02:19:55+00:00,XRP,okx,-3.86
2026-08-09T02:19:56+00:00,BNB,okx,-4.99
2026-08-09T02:19:58+00:00,ADA,okx,-5.02
2026-08-09T02:19:59+00:00,AVAX,okx,-4.63
2026-08-09T02:20:01+00:00,LINK,okx,-6.02
2026-08-09T02:20:02+00:00,SUI,okx,-4.35
2026-08-09T02:20:07+00:00,BTC,bitget,-4.15
2026-08-09T02:20:08+00:00,ETH,bitget,-5.06
2026-08-09T02:20:10+00:00,SOL,bitget,-4.88
2026-08-09T02:20:11+00:00,DOGE,bitget,-8.57
2026-08-09T02:20:13+00:00,XRP,bitget,-3.86
2026-08-09T02:20:14+00:00,BNB,bitget,-5.65
2026-08-09T02:20:15+00:00,ADA,bitget,-5.02
2026-08-09T02:20:17+00:00,AVAX,bitget,-9.25
2026-08-09T02:20:18+00:00,LINK,bitget,-4.82
2026-08-09T02:20:20+00:00,SUI,bitget,-7.25
2026-08-09T02:20:24+00:00,BTC,kucoin,-4.26
2026-08-09T02:20:26+00:00,ETH,kucoin,-4.70
2026-08-09T02:20:27+00:00,SOL,kucoin,-3.43
2026-08-09T02:20:29+00:00,DOGE,kucoin,-7.14
2026-08-09T02:20:30+00:00,XRP,kucoin,-2.32
2026-08-09T02:20:32+00:00,BNB,kucoin,-6.98
2026-08-09T02:20:33+00:00,ADA,kucoin,-10.03
2026-08-09T02:20:35+00:00,AVAX,kucoin,-7.71
2026-08-09T02:20:36+00:00,LINK,kucoin,-8.67
2026-08-09T02:20:38+00:00,SUI,kucoin,0.00
2026-08-09T02:20:48+00:00,BTC,gate,-4.24
2026-08-09T02:20:49+00:00,ETH,gate,-4.44
2026-08-09T02:20:50+00:00,SOL,gate,-5.27
2026-08-09T02:20:51+00:00,DOGE,gate,-8.57
2026-08-09T02:20:52+00:00,XRP,gate,-5.79
2026-08-09T02:20:53+00:00,BNB,gate,-3.33
2026-08-09T02:20:54+00:00,ADA,gate,-7.52
2026-08-09T02:20:55+00:00,AVAX,gate,-4.62
2026-08-09T02:20:56+00:00,LINK,gate,-4.82
2026-08-09T02:20:57+00:00,SUI,gate,-4.35
2026-08-09T08:00:24+00:00,BTC,okx,-5.95
2026-08-09T08:00:28+00:00,ETH,okx,-5.47
2026-08-09T08:00:30+00:00,SOL,okx,-6.55
2026-08-09T08:00:33+00:00,DOGE,okx,-5.70
2026-08-09T08:00:35+00:00,XRP,okx,-4.82
2026-08-09T08:00:38+00:00,BNB,okx,-3.32
2026-08-09T08:00:40+00:00,ADA,okx,-5.04
2026-08-09T08:00:45+00:00,AVAX,okx,-4.63
2026-08-09T08:00:47+00:00,LINK,okx,-4.80
2026-08-09T08:00:50+00:00,SUI,okx,-2.89
2026-08-09T08:01:15+00:00,BTC,bitget,-4.59
2026-08-09T08:01:18+00:00,ETH,bitget,-4.01
2026-08-09T08:01:20+00:00,SOL,bitget,-3.54
2026-08-09T08:01:23+00:00,DOGE,bitget,-7.13
2026-08-09T08:01:26+00:00,XRP,bitget,-1.93
2026-08-09T08:01:29+00:00,BNB,bitget,-6.63
2026-08-09T08:01:31+00:00,ADA,bitget,-5.04
2026-08-09T08:01:34+00:00,AVAX,bitget,-6.17
2026-08-09T08:01:37+00:00,LINK,bitget,-4.80
2026-08-09T08:01:41+00:00,SUI,bitget,-4.33
2026-08-09T08:01:59+00:00,BTC,kucoin,-4.83
2026-08-09T08:02:01+00:00,ETH,kucoin,-4.27
2026-08-09T08:02:04+00:00,SOL,kucoin,-4.97
2026-08-09T08:02:06+00:00,DOGE,kucoin,-1.42
2026-08-09T08:02:09+00:00,XRP,kucoin,-1.73
2026-08-09T08:02:10+00:00,BNB,kucoin,-6.43
2026-08-09T08:02:13+00:00,ADA,kucoin,-5.54
2026-08-09T08:02:15+00:00,AVAX,kucoin,-4.63
2026-08-09T08:02:17+00:00,LINK,kucoin,-1.68
2026-08-09T08:02:19+00:00,SUI,kucoin,1.44
2026-08-09T08:02:45+00:00,BTC,gate,-5.75
2026-08-09T08:02:47+00:00,ETH,gate,-6.76
2026-08-09T08:02:48+00:00,SOL,gate,-5.23
2026-08-09T08:02:49+00:00,DOGE,gate,-5.70
2026-08-09T08:02:51+00:00,XRP,gate,-5.78
2026-08-09T08:02:53+00:00,BNB,gate,-3.32
2026-08-09T08:02:55+00:00,ADA,gate,-2.01
2026-08-09T08:02:57+00:00,AVAX,gate,-9.25
2026-08-09T08:02:59+00:00,LINK,gate,-2.40
2026-08-09T08:03:00+00:00,SUI,gate,-5.77
2026-08-09T13:56:44+00:00,BTC,okx,-4.55
2026-08-09T13:56:45+00:00,ETH,okx,-5.15
2026-08-09T13:56:46+00:00,SOL,okx,-7.83
2026-08-09T13:56:47+00:00,DOGE,okx,-2.84
2026-08-09T13:56:48+00:00,XRP,okx,-2.89
2026-08-09T13:56:49+00:00,BNB,okx,-3.30
2026-08-09T13:56:50+00:00,ADA,okx,-15.18
2026-08-09T13:56:51+00:00,AVAX,okx,-6.17
2026-08-09T13:56:52+00:00,LINK,okx,-6.02
2026-08-09T13:56:53+00:00,SUI,okx,-1.44
2026-08-09T13:56:57+00:00,BTC,bitget,-4.89
2026-08-09T13:56:58+00:00,ETH,bitget,-4.47
2026-08-09T13:56:59+00:00,SOL,bitget,-5.22
2026-08-09T13:57:00+00:00,DOGE,bitget,-8.53
2026-08-09T13:57:01+00:00,XRP,bitget,-3.85
2026-08-09T13:57:02+00:00,BNB,bitget,-4.45
2026-08-09T13:57:03+00:00,ADA,bitget,-5.06
2026-08-09T13:57:04+00:00,AVAX,bitget,-4.63
2026-08-09T13:57:05+00:00,LINK,bitget,-3.61
2026-08-09T13:57:06+00:00,SUI,bitget,-8.63
2026-08-09T13:57:12+00:00,BTC,kucoin,-4.97
2026-08-09T13:57:14+00:00,ETH,kucoin,-5.41
2026-08-09T13:57:17+00:00,SOL,kucoin,-7.05
2026-08-09T13:57:19+00:00,DOGE,kucoin,-4.27
2026-08-09T13:57:20+00:00,XRP,kucoin,0.48
2026-08-09T13:57:22+00:00,BNB,kucoin,-1.81
2026-08-09T13:57:23+00:00,ADA,kucoin,-2.02
2026-08-09T13:57:24+00:00,AVAX,kucoin,-7.72
2026-08-09T13:57:26+00:00,LINK,kucoin,-6.75
2026-08-09T13:57:28+00:00,SUI,kucoin,-1.44
2026-08-09T13:58:53+00:00,BTC,okx,-5.06
2026-08-09T13:58:57+00:00,ETH,okx,-5.93
2026-08-09T13:58:59+00:00,SOL,okx,-7.83
2026-08-09T13:59:01+00:00,DOGE,okx,-4.27
2026-08-09T13:59:04+00:00,XRP,okx,-3.85
2026-08-09T13:59:06+00:00,BNB,okx,-4.94
2026-08-09T13:59:10+00:00,ADA,okx,-10.12
2026-08-09T13:59:12+00:00,AVAX,okx,-7.72
2026-08-09T13:59:14+00:00,LINK,okx,-7.23
2026-08-09T13:59:20+00:00,SUI,okx,-1.44
2026-08-09T14:00:14+00:00,BTC,okx,-4.78
2026-08-09T14:00:15+00:00,ETH,okx,-5.30
2026-08-09T14:00:16+00:00,SOL,okx,-5.22
2026-08-09T14:00:17+00:00,DOGE,okx,-4.27
2026-08-09T14:00:18+00:00,XRP,okx,-4.81
2026-08-09T14:00:19+00:00,BNB,okx,-4.94
2026-08-09T14:00:20+00:00,ADA,okx,-10.13
2026-08-09T14:00:22+00:00,AVAX,okx,-7.71
2026-08-09T14:00:23+00:00,LINK,okx,-8.43
2026-08-09T14:00:24+00:00,SUI,okx,-4.31
2026-08-09T14:00:27+00:00,BTC,bitget,-4.75
2026-08-09T14:00:28+00:00,ETH,bitget,-4.26
2026-08-09T14:00:30+00:00,SOL,bitget,-4.18
2026-08-09T14:00:31+00:00,DOGE,bitget,-7.11
2026-08-09T14:00:32+00:00,XRP,bitget,-3.85
2026-08-09T14:00:33+00:00,BNB,bitget,-6.92
