ts,spread_bps,lsr
2026-08-03 06:00,0.0,1.661
2026-08-03 07:00,2.8,1.5767
2026-08-03 08:00,22.4,1.5813
2026-08-03 09:00,9.6,1.5569
2026-08-03 10:00,8.4,1.5323
2026-08-03 11:00,11.3,1.5082
2026-08-03 12:00,-9.6,1.471
2026-08-03 13:00,25.8,1.5151
2026-08-03 14:00,30.1,1.4131
2026-08-03 15:00,21.1,1.3089
2026-08-03 16:00,44.4,1.2007
2026-08-03 17:00,55.5,1.1848
2026-08-03 18:00,40.5,1.2026
2026-08-03 19:00,46.3,1.2207
2026-08-03 20:00,27.4,1.1858
2026-08-03 21:00,56.4,1.2012
2026-08-03 22:00,26.9,1.1427
2026-08-03 23:00,18.2,1.1626
2026-08-04 00:00,7.7,1.2099
2026-08-04 01:00,15.6,1.2826
2026-08-04 02:00,11.4,1.1939
2026-08-04 03:00,-3.2,1.3196
2026-08-04 04:00,1.1,1.5374
2026-08-04 05:00,17.2,1.5284
2026-08-04 06:00,5.3,1.5291
2026-08-04 07:00,-9.7,1.5961
2026-08-04 08:00,-16.2,1.5927
2026-08-04 09:00,16.8,1.6795
2026-08-04 10:00,61.6,1.582
2026-08-04 11:00,35.9,1.5465
2026-08-04 12:00,3.0,1.4783
2026-08-04 13:00,36.7,1.5208
2026-08-04 14:00,62.6,1.4033
2026-08-04 15:00,51.0,1.3568
2026-08-04 16:00,47.3,1.3441
2026-08-04 17:00,56.1,1.2989
2026-08-04 18:00,32.8,1.2139
2026-08-04 19:00,27.6,1.2134
2026-08-04 20:00,75.6,1.1839
2026-08-04 21:00,71.1,1.1749
2026-08-04 22:00,49.9,1.0877
2026-08-04 23:00,-9.4,1.0585
2026-08-05 00:00,47.2,1.0084
2026-08-05 01:00,70.5,0.9581
2026-08-05 02:00,62.7,0.8879
2026-08-05 03:00,33.4,0.8706
2026-08-05 04:00,29.5,0.9091
2026-08-05 05:00,59.9,0.7989
2026-08-05 06:00,60.6,0.6756
2026-08-05 07:00,7.0,0.5726
2026-08-05 08:00,40.4,0.4743
2026-08-05 09:00,31.1,0.4378
2026-08-05 10:00,13.4,0.4596
2026-08-05 11:00,11.9,0.5035
2026-08-05 12:00,5.7,0.5049
2026-08-05 13:00,35.6,0.4952
2026-08-05 14:00,34.5,0.481
2026-08-05 15:00,18.0,0.447
2026-08-05 16:00,60.1,0.504
2026-08-05 17:00,88.6,0.4554
2026-08-05 18:00,59.9,0.5188
2026-08-05 19:00,64.0,0.5511
2026-08-05 20:00,61.8,0.5152
2026-08-05 21:00,56.6,0.5172
2026-08-05 22:00,27.0,0.5242
2026-08-05 23:00,54.5,0.5349
2026-08-06 00:00,58.6,0.5316
2026-08-06 01:00,69.0,0.5026
2026-08-06 02:00,80.8,0.4861
2026-08-06 03:00,75.7,0.4767
2026-08-06 04:00,114.3,0.4797
2026-08-06 05:00,40.9,0.5131
2026-08-06 06:00,87.1,0.5499
2026-08-06 07:00,54.9,0.5147
2026-08-06 08:00,77.4,0.5094
2026-08-06 09:00,48.8,0.5209
2026-08-06 10:00,47.9,0.5307
2026-08-06 11:00,73.7,0.5295
2026-08-06 12:00,109.3,0.4995
2026-08-06 13:00,114.0,0.5319
2026-08-06 14:00,171.6,0.5069
2026-08-06 15:00,153.9,0.4743
2026-08-06 16:00,439.2,0.4067
2026-08-06 17:00,316.2,0.4154
2026-08-06 18:00,376.8,0.3801
2026-08-06 19:00,294.5,0.392
2026-08-06 20:00,302.6,0.3808
2026-08-06 21:00,276.4,0.3475
2026-08-06 22:00,175.0,0.3423
2026-08-06 23:00,41.7,0.316
2026-08-07 00:00,305.1,0.3062
2026-08-07 01:00,255.8,0.3168
