dex,name,mark,oracle,funding,oi,is_stock
xyz,xyz:XYZ100,29267.0,29257.0,1.22007e-05,7298.759,False
xyz,xyz:TSLA,362.08,361.75,2.56454e-05,116311.286,True
xyz,xyz:NVDA,217.27,217.09,2.29089e-05,553625.3700000001,True
xyz,xyz:GOLD,4607.1,4606.9,6.25e-06,81121.1702,True
xyz,xyz:HOOD,107.43,107.31,3.42621e-05,137337.886,True
xyz,xyz:INTC,89.35,89.3,4.61515e-05,727151.3799999999,True
xyz,xyz:PLTR,180.12,180.02,6.25e-06,86878.402,True
xyz,xyz:COIN,182.44,181.87,1.46782e-05,92682.514,True
xyz,xyz:META,552.73,551.92,5.90817e-05,92057.68,True
xyz,xyz:AAPL,309.46,309.29,6.25e-06,101347.022,True
xyz,xyz:MSFT,481.67,481.65,6.25e-06,41437.08,True
xyz,xyz:ORCL,146.62,146.51,2.66088e-05,81229.21,True
xyz,xyz:GOOGL,344.08,344.0,6.25e-06,360633.57,True
xyz,xyz:AMZN,258.74,258.61,6.25e-06,101929.874,True
xyz,xyz:AMD,469.67,469.32,1.90201e-05,28194.29,True
xyz,xyz:MU,963.15,962.39,2.12061e-05,147934.548,False
xyz,xyz:SNDK,1593.7,1592.0,3.07535e-05,76898.394,True
xyz,xyz:MSTR,117.44,117.08,-4.35232e-05,232493.898,True
xyz,xyz:CRCL,87.687,87.392,5.57352e-05,583520.6099999999,True
xyz,xyz:NFLX,79.499,79.461,6.25e-06,54765.166,True
xyz,xyz:COST,945.23,945.3,-1.52292e-05,324.2388,False
xyz,xyz:LLY,1249.8,1250.2,2.6174e-06,6389.4406,False
xyz,xyz:SKHX,1256.2,1254.9,4.89135e-05,314318.0660000002,False
xyz,xyz:TSM,420.77,420.34,1.66474e-05,19423.386,False
xyz,xyz:JPY,159.15,159.17,0.0,104332.84,False
xyz,xyz:EUR,1.1726,1.174,-0.0001456988,16145151.0,True
xyz,xyz:SILVER,68.771,68.779,6.25e-06,2129269.239999998,True
xyz,xyz:RIVN,16.872,16.854,0.0001492967,46947.6,False
xyz,xyz:BABA,116.12,116.12,-5.45704e-05,102089.898,True
xyz,xyz:CL,86.629,86.637,6.25e-06,2049442.4579999996,False
xyz,xyz:COPPER,6.6545,6.6524,6.25e-06,3750984.5,True
xyz,xyz:NATGAS,2.8061,2.8112,-1.45582e-05,3111908.2,True
xyz,xyz:URANIUM,85.0,85.0,0.0,0.0,False
xyz,xyz:ALUMINIUM,3080.0,3080.0,0.0,0.0,False
xyz,xyz:SMSN,194.83,194.62,4.08707e-05,363133.916,False
xyz,xyz:PLATINUM,1884.0,1884.0,6.25e-06,3937.2126,False
xyz,xyz:USAR,19.081,19.051,6.25e-06,71007.54,False
xyz,xyz:CRWV,87.325,87.204,8.2714e-05,123798.3,False
xyz,xyz:URNM,59.941,59.824,9.42239e-05,22257.38,False
xyz,xyz:PALLADIUM,1345.9,1345.3,-1.32314e-05,2727.1744,True
xyz,xyz:DXY,97.15,97.15,0.0,0.0,False
xyz,xyz:GME,18.276,18.283,2.47717e-05,94098.82,False
xyz,xyz:KR200,1073.9,1074.4,6.25e-06,679.4148,False
xyz,xyz:SOFTBANK,33.093,33.161,-0.0001235616,16633.778,False
xyz,xyz:JP225,65855.0,65855.0,-1.74963e-05,31.5433,False
xyz,xyz:HYUNDAI,293.2,292.85,6.25e-06,5263.446,False
xyz,xyz:KIOXIA,333.58,333.79,-9.94404e-05,22202.462,False
xyz,xyz:EWY,178.69,178.61,6.25e-06,55402.31,True
xyz,xyz:EWJ,95.083,95.069,6.25e-06,7396.126,False
xyz,xyz:BRENTOIL,92.246,92.299,6.25e-06,1920282.5000000002,True
xyz,xyz:VIX,20.0,20.0,0.0,0.0,False
xyz,xyz:HIMS,33.666,33.686,-9.20074e-05,46348.68,False
xyz,xyz:SP500,7658.5,7656.8,6.25e-06,55575.882,False
xyz,xyz:DKNG,26.07,26.07,1.68337e-05,11284.8,False
xyz,xyz:LITE,854.52,853.53,7.16762e-05,10316.484,False
xyz,xyz:CORN,4.61,4.61,0.0,0.0,True
xyz,xyz:XLE,64.485,64.588,-0.0002088637,25665.78,False
xyz,xyz:WHEAT,6.3,6.3,0.0,0.0,True
xyz,xyz:TTF,57.0,57.0,0.0,0.0,False
xyz,xyz:BX,144.84,144.87,-4.32252e-05,3788.88,False
xyz,xyz:PURRDAT,11.164,11.122,0.00042831,1022014.0,False
xyz,xyz:MRVL,234.52,234.29,3.46933e-05,111909.88,False
xyz,xyz:RKLB,72.872,72.735,8.33542e-05,75729.98,False
xyz,xyz:BIRD,2.3871,2.386,9.2662e-05,26791.8,False
xyz,xyz:VOL,15.0,15.0,0.0,0.0,False
xyz,xyz:DRAM,57.839,57.783,2.78045e-05,1513422.8,False
xyz,xyz:CBRS,193.39,193.19,3.9751e-05,214153.5,False
xyz,xyz:EWZ,35.369,35.403,-0.0001037448,6644.1,False
xyz,xyz:KRW,1386.0,1386.0,0.0,0.0,False
xyz,xyz:ZM,107.84,107.7,1.95054e-05,4207.542,False
xyz,xyz:EBAY,104.08,104.19,-7.6481e-05,2374.4,False
xyz,xyz:H100,2.6,2.6,0.0,0.0,True
xyz,xyz:NIFTY,24250.0,24250.0,0.0,0.0,False
xyz,xyz:ARM,242.34,242.02,4.74586e-05,16990.6,False
xyz,xyz:EWT,104.55,104.41,9.22793e-05,2798.42,False
xyz,xyz:GBP,1.3649,1.3649,-1.29637e-05,137862.0,False
xyz,xyz:SPCX,134.95,134.75,4.02701e-05,1090063.7400000002,False
xyz,xyz:IBOV,175000.0,175000.0,0.0,0.0,False
xyz,xyz:ASML,1761.7,1759.9,4.56286e-05,780.61,False
xyz,xyz:MINIMAX,42.386,42.33,0.0001327535,283020.52,False
xyz,xyz:BB,7.9049,7.9222,-1.68107e-05,1451841.2,False
xyz,xyz:QNT,56.312,56.343,-0.0001372771,20501.8,False
xyz,xyz:DELL,443.43,443.01,5.35985e-05,10616.82,False
xyz,xyz:IBM,236.29,236.13,1.50116e-05,12238.52,False
xyz,xyz:AVGO,367.81,367.8,3.12875e-05,15458.7,True
xyz,xyz:NOW,127.23,127.14,3.92736e-05,13631.58,False
xyz,xyz:NBIS,222.8,222.2,0.0001411465,298311.1999999999,False
xyz,xyz:WDC,460.74,460.38,6.25e-06,5322.178,False
xyz,xyz:NOK,10.178,10.159,0.0001448288,293938.54,False
xyz,xyz:SMH,558.22,557.98,3.19965e-05,2180.75,False
xyz,xyz:BE,197.32,197.17,4.02044e-05,35436.38,False
xyz,xyz:ZHIPU,144.81,144.21,0.0002068406,81478.81,False
xyz,xyz:QCOM,160.79,160.7,6.25e-06,25156.26,False
xyz,xyz:STRC,96.427,96.502,-4.01325e-05,92055.8,False
xyz,xyz:BOT,27.967,27.948,7.02497e-05,126275.16,False
xyz,xyz:AMAT,489.62,489.55,4.91123e-05,3376.538,False
xyz,xyz:IBIDEN,119.39,119.39,0.0,0.0,False
xyz,xyz:GIGADEV,60.618,60.491,0.000274777,14426.14,False
xyz,xyz:SHAZ,61.931,61.189,0.0003708942,79690.16,False
xyz,xyz:SKHY,165.14,165.02,3.04571e-05,507741.0999999999,False
xyz,xyz:KSTR,23.815,23.815,0.0,0.0,False
xyz,xyz:CXMT,8.5635,8.5627,6.25e-06,7180475.200000001,False
xyz,xyz:GEV,964.96,962.61,2.9203e-06,458.244,False
xyz,xyz:KORU,20.413,20.405,1.24465e-05,57500.4,True
xyz,xyz:UNITREE,96.616,96.695,-7.3631e-05,240315.1999999999,False
xyz,xyz:LYTE,24.461,24.383,0.000184653,39652.34,False
xyz,xyz:NCLD,23.862,23.758,6.25e-06,7589.54,False
xyz,xyz:SOXL,119.17,118.95,0.0001438386,28072.68,False
xyz,xyz:MAGS,67.383,67.547,-0.0003065428,1709.84,False
xyz,xyz:IREN,40.819,40.756,0.0001350439,13212.4,True
xyz,xyz:NET,294.64,294.64,-5.1126e-06,225.76,True
xyz,xyz:CRWD,191.15,190.63,0.0002137721,13329.86,False
xyz,xyz:RDDT,154.16,153.94,-9.98276e-05,1000.66,False
xyz,xyz:AAOI,110.97,110.61,0.000209375,14559.12,False
xyz,xyz:MRNA,147.23,146.74,5.78263e-05,38628.1,False
xyz,xyz:XBI,165.73,165.73,0.0,0.0,False
flx,flx:TSLA,395.5,400.53,0.0,0.0,True
flx,flx:NVDA,208.99,210.49,0.0,0.0,True
flx,flx:CRCL,80.037,80.282,0.0,0.0,True
flx,flx:COIN,164.78,163.28,0.0,0.0,True
flx,flx:XMR,317.99,306.61,0.0,0.0,False
flx,flx:GOLD,4153.2,4156.1,0.0,0.0,True
flx,flx:SILVER,65.65,64.811,0.0,0.0,True
flx,flx:OIL,76.4,76.56,0.0,0.0,True
flx,flx:GAS,3.2429,3.2479,0.0,0.0,True
flx,flx:BTC,91470.2,64705.0,0.0,0.0,False
flx,flx:COPPER,6.33,6.3374,0.0,0.0,True
flx,flx:PALLADIUM,1264.1,1264.0,0.0,0.0,True
flx,flx:PLATINUM,1658.2,1669.2,0.0,0.0,False
flx,flx:USDE,0.9984,0.99892,0.0,0.0,False
flx,flx:USA500,7435.0,7514.4,0.0,0.0,True
flx,flx:USA100,29530.0,30368.0,0.0,0.0,False
vntl,vntl:SPACEX,2109.5,2417.0,0.0,0.0,True
vntl,vntl:OPENAI,1336.2,1341.8,0.0,0.0,True
vntl,vntl:ANTHROPIC,1619.3,1618.9,0.0,0.0,True
vntl,vntl:MAG7,63.661,65.52,0.0,0.0,True
vntl,vntl:SEMIS,661.1,659.88,0.0,0.0,True
vntl,vntl:ROBOT,38.317,38.37,0.0,0.0,True
vntl,vntl:INFOTECH,191.3,191.26,0.0,0.0,True
vntl,vntl:NUCLEAR,128.05,126.76,0.0,0.0,True
vntl,vntl:DEFENSE,62.011,62.32,0.0,0.0,True
vntl,vntl:ENERGY,54.599,53.76,0.0,0.0,True
vntl,vntl:BIOTECH,140.88,140.63,0.0,0.0,True
vntl,vntl:GOLDJM,124.0,124.0,0.0,0.0,True
vntl,vntl:SILVERJM,31.5,31.5,0.0,0.0,True
vntl,vntl:WHEAT,611.42,613.38,0.0,0.0,True
vntl,vntl:SOY,1142.3,1141.9,0.0,0.0,False
hyna,hyna:BTC,76531.0,76526.0,-4.2146e-05,20.97312,False
hyna,hyna:ETH,2417.8,2420.4,0.0005329879,704.953,False
