ts,n_bundles,n_with_tip,n_txs,p50_tip,p99_tip,max_tip,mean_tip,std_tip
2026-08-09T10:00:37+00:00,100,100,120,9961,2020000,2020000,74100.1,285768.8
2026-08-12T09:00:21+00:00,100,100,135,2054,1000000,1000000,16744.2,100468.1
2026-08-12T10:00:28+00:00,100,100,135,2762,800000,800000,28497.7,102738.8
2026-08-12T11:00:41+00:00,100,100,119,3393,756208,756208,16502.1,82702.0
2026-08-12T12:00:50+00:00,100,100,123,5621,10000000,10000000,261713.8,1411012.7
2026-08-12T13:01:03+00:00,100,100,111,4073,5000000,5000000,62226.5,500106.8
2026-08-12T14:00:10+00:00,100,100,121,2317,29133855,29133855,311075.8,2913159.6
2026-08-12T15:00:21+00:00,100,100,118,1000,101405,101405,4709.6,13169.2
2026-08-12T16:00:32+00:00,100,100,117,5212,4000000,4000000,68118.1,424885.6
2026-08-12T17:00:45+00:00,100,100,119,5896,10000000,10000000,246278.3,1275694.9
2026-08-12T18:00:58+00:00,100,100,117,26788,4717502,4717502,147454.4,579662.0
2026-08-12T19:00:05+00:00,100,100,130,6767,3500047,3500047,107678.0,414675.5
2026-08-12T20:00:17+00:00,100,100,123,2719,231000,231000,7539.2,25416.6
2026-08-12T22:00:39+00:00,100,100,115,3847,1007642,1007642,33323.8,129327.7
2026-08-12T23:00:50+00:00,100,100,126,4000,5000000,5000000,83406.7,516610.3
2026-08-13T00:01:05+00:00,100,100,115,7253,1000000,1000000,65173.7,218718.4
2026-08-13T01:00:12+00:00,100,100,137,2372,1753009,1753009,100195.8,365343.4
2026-08-13T02:00:24+00:00,100,100,116,3072,105566,105566,6890.4,14916.7
2026-08-13T03:00:34+00:00,100,100,111,10000,4000000,4000000,59352.1,398883.6
2026-08-13T04:01:25+00:00,100,100,113,3260,1750023,1750023,36882.4,200969.5
2026-08-13T05:00:58+00:00,100,100,119,1713,30000000,30000000,453731.2,3256369.0
2026-08-13T06:00:11+00:00,100,100,118,1057,1100000,1100000,49873.7,194589.6
2026-08-13T07:00:21+00:00,100,100,126,2736,1010000,1010000,25408.4,112999.5
2026-08-13T08:00:32+00:00,100,100,119,5947,1000000,1000000,23972.4,104979.4
2026-08-13T09:00:39+00:00,100,100,117,4113,1000000,1000000,30524.2,109344.7
2026-08-13T12:16:46+00:00,100,100,117,2556,1000000,1000000,27571.5,116239.4
2026-08-13T13:00:55+00:00,100,100,122,5764,1500000,1500000,34092.8,178668.3
2026-08-13T14:00:03+00:00,100,100,138,9845,1000000,1000000,31542.0,110917.8
2026-08-13T15:00:13+00:00,100,100,115,9322,1001500,1001500,37750.5,148357.5
2026-08-13T16:00:24+00:00,100,100,139,4767,1000000,1000000,63384.9,219354.9
2026-08-13T17:00:35+00:00,100,100,117,1846,2656500,2656500,72887.5,320689.6
