ts,old_route,new_route,old_out,new_out,old_context,new_context
2026-08-10 00:43:49 UTC,"HumidiFi","Whirlpool->AlphaQ",76324195,76288865,438301438,438301476
2026-08-10 00:44:59 UTC,"PancakeSwap","Scorch->AlphaQ",76272586,76299012,438301533,438301650
2026-08-10 02:00:38 UTC,"BisonFi","Whirlpool->AlphaQ",76532715,76808407,438303832,438312382
2026-08-10 04:00:09 UTC,"Scorch->Aquifer","Quantum",76728457,76577771,438320926,438329380
2026-08-10 06:00:30 UTC,"Flux","Scorch->Deriverse",76532460,76850560,438337914,438346474
2026-08-10 08:00:52 UTC,"Scorch->SolFi V2","HumidiFi->Manifest",76932069,76949046,438354978,438363527
2026-08-10 10:00:07 UTC,"Scorch->JupLend AMM","ZeroFi",76877950,76511961,438372045,438380474
2026-08-10 12:00:26 UTC,"Aquifer","Aquifer->ZeroFi",76774747,76990290,438389055,438397602
2026-08-10 14:00:44 UTC,"ZeroFi","SolFi V2",76563053,76335314,438406140,438414658
2026-08-10 16:00:33 UTC,"BisonFi","BisonFi",76155274,75826402,438423190,438431683
2026-08-10 18:00:12 UTC,"ZeroFi","Quantum",75644566,75915243,438440235,438448658
2026-08-10 20:00:31 UTC,"HumidiFi->AlphaQ","Quantum",75774387,76154827,438457201,438465763
2026-08-10 23:00:05 UTC,"Scorch","Quantum",76281200,76157651,438482846,438491304
2026-08-11 01:00:27 UTC,"Scorch->JupLend AMM","Flux",75913671,75798903,438499879,438508464
2026-08-11 03:00:59 UTC,"HumidiFi","BisonFi",76036868,75994965,438517053,438525572
2026-08-11 05:00:37 UTC,"HumidiFi->Manifest","Quantum",76008249,76011719,438534063,438542613
2026-08-11 07:01:02 UTC,"Aquifer","HumidiFi",75747618,75784303,438551204,438559697
2026-08-11 09:00:18 UTC,"HumidiFi","HumidiFi",75647780,75877483,438568147,438576715
2026-08-11 11:00:34 UTC,"HumidiFi->Deriverse","Aquifer->Deriverse",75817869,75922849,438585290,438593878
2026-08-11 13:01:08 UTC,"Flux->Deriverse","BisonFi",76178255,75812266,438602486,438611039
2026-08-11 15:00:15 UTC,"Aquifer","BisonFi",75939850,75179812,438619427,438627982
2026-08-11 17:00:36 UTC,"Aquifer","BisonFi",74757536,74937742,438636539,438645121
2026-08-11 19:00:57 UTC,"Quantum","TesseraV",75140091,75191568,438653667,438662219
2026-08-11 22:00:30 UTC,"Quantum","SolFi V2",75632183,76462988,438670666,438687825
2026-08-12 00:00:52 UTC,"Quantum","Quantum",76285315,76210529,438696449,438705045
2026-08-12 02:00:14 UTC,"Quantum","HumidiFi->AlphaQ",76339126,76393470,438713608,438722048
2026-08-12 04:00:31 UTC,"HumidiFi->Byreal","PancakeSwap",76395099,76334337,438730604,438739183
2026-08-12 06:00:52 UTC,"BisonFi","Quantum",76235722,76268048,438747832,438756434
2026-08-12 08:00:13 UTC,"Quantum","Quantum",75980808,76184483,438765007,438773458
2026-08-12 10:00:31 UTC,"Quantum","BisonFi->Manifest",76107291,76741432,438782016,438790669
2026-08-12 12:00:51 UTC,"Flux->AlphaQ","Aquifer",76766703,76866621,438799271,438807848
2026-08-12 14:00:13 UTC,"Quantum","Quantum",76510997,76156242,438816445,438824899
2026-08-12 16:00:35 UTC,"Aquifer->SolFi V2","Aquifer",75397265,75700616,438833497,438842078
2026-08-12 18:01:00 UTC,"HumidiFi->Byreal","Quantum",75667034,75876380,438850673,438859266
2026-08-12 20:00:18 UTC,"Aquifer","Aquifer",75827805,75696259,438867689,438876303
2026-08-12 23:00:52 UTC,"Aquifer","Quantum",75414770,75468146,438893503,438902147
2026-08-13 01:00:14 UTC,"Flux","Aquifer",75559184,75520261,438910797,438919308
2026-08-13 03:00:36 UTC,"Aquifer->SolFi V2","Scorch->Manifest",75571800,75906505,438927928,438936563
