amount,integrator,to_amount,fee_usd,gas_usd,duration_s,fee_names,to_amount_min,err
100,,99.75,0.250988,0.006453,7,LIFI Fixed Fee,99.75,
100,jumper.exchange,100.0,0.0,0.004071,7,-,100.0,
100,socket,99.75,0.250988,0.006453,7,LIFI Fixed Fee,99.75,
100,lifi,99.75,0.250988,0.006453,7,LIFI Fixed Fee,99.75,
1000,,997.5,2.509881,0.006453,7,LIFI Fixed Fee,997.5,
1000,jumper.exchange,1000.0,0.0,0.004071,7,-,1000.0,
1000,socket,997.5,2.509881,0.006453,7,LIFI Fixed Fee,997.5,
1000,lifi,997.5,2.509881,0.006453,7,LIFI Fixed Fee,997.5,
10000,,9975.0,25.09881,0.006453,7,LIFI Fixed Fee,9975.0,
10000,jumper.exchange,10000.0,0.0,0.004071,7,-,10000.0,
10000,socket,9975.0,25.09881,0.006453,7,LIFI Fixed Fee,9975.0,
10000,lifi,9975.0,25.09881,0.006453,7,LIFI Fixed Fee,9975.0,
100000,,99750.0,250.988096,0.006453,7,LIFI Fixed Fee,99750.0,
100000,jumper.exchange,100000.0,0.0,0.004071,7,-,100000.0,
100000,socket,99750.0,250.988096,0.006453,7,LIFI Fixed Fee,99750.0,
100000,lifi,99750.0,250.988096,0.006453,7,LIFI Fixed Fee,99750.0,
