ts,amm,price
2026-08-30T07:42:35+00:00,BisonFi,104.9567
2026-08-31T07:56:41+00:00,BisonFi,102.9792
2026-09-01T07:02:42+00:00,GoonFi V2,103.4578
2026-09-02T06:40:33+00:00,BisonFi,99.9798
2026-09-03T06:42:48+00:00,HumidiFi,100.9217
2026-09-04T06:47:40+00:00,BisonFi,103.6452
2026-09-05T06:33:15+00:00,HumidiFi,102.0772
2026-09-05T06:33:15+00:00,AlphaQ,102.1073
2026-09-06T06:42:56+00:00,Scorch,105.4931
2026-09-06T06:42:56+00:00,SolFi V2,105.5075
2026-09-07T06:51:15+00:00,Quantum,105.0984
2026-09-08T06:47:19+00:00,GoonFi V2,102.7519
2026-09-08T06:47:19+00:00,JupLend AMM,102.7328
2026-09-09T06:55:56+00:00,HumidiFi,104.4867
2026-09-10T06:52:23+00:00,Quantum,102.0349
2026-09-11T06:53:25+00:00,BisonFi,99.7483
