ts,source,pool,price,sim_out_1sol
2026-08-08T02:37:17+00:00,Raydium直读,Raydium SOL-USDC,73.811724,73.589196
2026-08-08T02:37:17+00:00,Jupiter 0.1 SOL,HumidiFi,73.93658,7.393658
2026-08-08T02:37:17+00:00,Jupiter 1 SOL,HumidiFi,73.935598,73.935598
2026-08-08T02:37:17+00:00,Jupiter 10 SOL,HumidiFi,73.935532,739.355318
2026-08-08T02:37:17+00:00,Jupiter 100 SOL,HumidiFi,9.611611,961.161138
2026-08-08T02:37:17+00:00,Jupiter 100 SOL,HumidiFi,9.611614,961.161424
2026-08-08T02:37:17+00:00,Jupiter 100 SOL,HumidiFi,54.710945,5471.094524
2026-08-08T02:37:29+00:00,Raydium直读,Raydium SOL-USDC,73.81074,73.588215
2026-08-08T02:37:29+00:00,Jupiter 0.1 SOL,HumidiFi,73.93655,7.393655
2026-08-08T02:37:29+00:00,Jupiter 1 SOL,HumidiFi,73.936548,73.936548
2026-08-08T02:37:29+00:00,Jupiter 10 SOL,HumidiFi,73.936474,739.364739
2026-08-08T02:37:29+00:00,Jupiter 100 SOL,BisonFi,73.930342,5470.845327
2026-08-08T02:37:29+00:00,Jupiter 100 SOL,HumidiFi,73.96811,961.585428
2026-08-08T02:37:29+00:00,Jupiter 100 SOL,SolFi V2,999.576711,961.178399
2026-08-08T02:37:29+00:00,Jupiter 100 SOL,HumidiFi,73.937395,961.18614
