ts,open,high,low,close,volume
1742461200000,0.04287,0.05,0.04265,0.04556,636743658
1742464800000,0.04558,0.047,0.04333,0.04568,382906585
1742468400000,0.04568,0.04769,0.04474,0.04564,281015255
1742472000000,0.04565,0.04784,0.0446,0.04668,217489371
1742475600000,0.04667,0.04732,0.04395,0.04458,214875563
1742479200000,0.04458,0.04487,0.03752,0.03815,500332485
1742482800000,0.03815,0.03999,0.036,0.03752,370448862
1742486400000,0.03749,0.0378,0.03454,0.03669,303405934
1742490000000,0.03669,0.03749,0.03473,0.0366,184667868
1742493600000,0.03661,0.0375,0.03535,0.03687,134399023
1742497200000,0.03686,0.03822,0.0356,0.0365,120879670
1742500800000,0.03649,0.03698,0.03341,0.03394,122024321
1742504400000,0.03394,0.03453,0.03237,0.03406,155975062
1742508000000,0.03404,0.03508,0.03379,0.03437,77662440
1742511600000,0.03438,0.03612,0.03428,0.03565,71860881
1742515200000,0.03565,0.036,0.0336,0.03469,128115981
1742518800000,0.03469,0.03588,0.03373,0.03484,117397254
1742522400000,0.03485,0.037,0.03454,0.03575,145570726
1742526000000,0.03575,0.03639,0.035,0.03536,90614529
1742529600000,0.03538,0.03805,0.03522,0.03791,131103354
1742533200000,0.03791,0.03913,0.03607,0.03658,175019463
1742536800000,0.03659,0.03701,0.03522,0.03567,94351092
1742540400000,0.03567,0.03583,0.03313,0.034,156839887
1742544000000,0.03402,0.03431,0.03132,0.03151,137271493
1742547600000,0.03152,0.03206,0.03077,0.03136,229707949
1742551200000,0.03136,0.03157,0.029,0.02991,259441499
1742554800000,0.02991,0.02991,0.02843,0.02949,227382945
1742558400000,0.0295,0.03006,0.02894,0.02919,216323742
1742562000000,0.02919,0.02932,0.02768,0.02822,243058849
1742565600000,0.02824,0.02838,0.02663,0.02758,218029041
1742569200000,0.02757,0.02877,0.02709,0.0282,185421616
1742572800000,0.0282,0.03026,0.02717,0.02898,425575883
1742576400000,0.02898,0.03053,0.02895,0.02986,176269056
1742580000000,0.02986,0.03056,0.0291,0.02979,160771446
1742583600000,0.02978,0.0303,0.0294,0.03004,85572640
1742587200000,0.03004,0.03044,0.02914,0.02989,57023691
1742590800000,0.02987,0.03201,0.02978,0.03112,113997839
1742594400000,0.03112,0.03155,0.02989,0.03062,87842535
1742598000000,0.03063,0.03092,0.02869,0.02923,84241749
1742601600000,0.02924,0.03042,0.027,0.02741,180532693
1742605200000,0.02742,0.02779,0.02665,0.02708,75040694
