ts,open,high,low,close,volume
1775001600000,0.00864,0.00884,0.0086,0.00873,12088072
1775005200000,0.00872,0.00886,0.00863,0.00865,12531252
1775008800000,0.00864,0.00873,0.00855,0.00857,14857637
1775012400000,0.00858,0.00867,0.00858,0.00864,4764376
1775016000000,0.00864,0.00867,0.00861,0.00862,2943162
1775019600000,0.00862,0.00868,0.0086,0.00865,3614896
1775023200000,0.00866,0.00874,0.00864,0.0087,4466905
1775026800000,0.0087,0.00875,0.00867,0.00871,4138314
1775030400000,0.00871,0.00879,0.0087,0.00872,8436675
1775034000000,0.00872,0.00876,0.00865,0.00872,4618828
1775037600000,0.00872,0.00874,0.00853,0.0086,9012534
1775041200000,0.00862,0.00863,0.00855,0.0086,5888804
1775044800000,0.0086,0.00867,0.00857,0.0086,5298492
1775048400000,0.0086,0.00862,0.00848,0.00857,4373559
1775052000000,0.00857,0.00867,0.00857,0.00866,2403592
1775055600000,0.00866,0.00869,0.00862,0.00866,4967297
1775059200000,0.00866,0.00874,0.00864,0.00872,6077051
1775062800000,0.00872,0.00882,0.00872,0.00874,4959790
1775066400000,0.00875,0.00881,0.00873,0.00875,5033218
1775070000000,0.00876,0.00878,0.00872,0.00873,3556083
1775073600000,0.00873,0.00875,0.00869,0.00872,4357317
1775077200000,0.00872,0.00886,0.00872,0.0088,4175412
1775080800000,0.0088,0.00884,0.00877,0.00882,3240355
1775084400000,0.00882,0.00891,0.00882,0.00887,5149818
1775088000000,0.00887,0.00903,0.00887,0.00896,6383683
1775091600000,0.00897,0.00899,0.00876,0.00881,8748104
1775095200000,0.00879,0.00879,0.00859,0.00867,11729069
1775098800000,0.00867,0.00868,0.00858,0.0086,4098675
1775102400000,0.00859,0.00859,0.0085,0.00852,5212971
1775106000000,0.00852,0.00862,0.00846,0.00859,9395870
1775109600000,0.00859,0.00867,0.00854,0.00865,8268581
1775113200000,0.00866,0.00873,0.00857,0.00869,8258252
1775116800000,0.0087,0.00881,0.00862,0.00875,13098544
1775120400000,0.00875,0.0088,0.0086,0.00866,11707207
1775124000000,0.00865,0.00872,0.00862,0.00865,5731244
1775127600000,0.00864,0.00872,0.00859,0.00865,5225707
1775131200000,0.00865,0.00869,0.00853,0.00866,11272972
1775134800000,0.00866,0.00895,0.0086,0.00889,34295027
1775138400000,0.00889,0.00896,0.00876,0.0089,27182929
1775142000000,0.0089,0.00904,0.00889,0.00898,13019972
1775145600000,0.00899,0.0093,0.00896,0.00925,22461483
