ts,open,high,low,close,volume
1786179600000,0.0519000,0.0543800,0.0510600,0.0538100,470235776
1786183200000,0.0538000,0.0609900,0.0513900,0.0580200,673750336
1786186800000,0.0580200,0.0603200,0.0532600,0.0585600,737108606
1786190400000,0.0585800,0.0672100,0.0576000,0.0634200,629739678
1786194000000,0.0634300,0.0698300,0.0628800,0.0677000,776057130
1786197600000,0.0677000,0.0714400,0.0643300,0.0657300,773118412
1786201200000,0.0657000,0.0723000,0.0656700,0.0713000,604590575
1786204800000,0.0712900,0.0798500,0.0695700,0.0773300,878158085
1786208400000,0.0773500,0.0787400,0.0659500,0.0753300,1057520162
1786212000000,0.0753300,0.0846900,0.0725900,0.0799600,840113857
1786215600000,0.0799400,0.0838200,0.0781700,0.0789600,353650297
1786219200000,0.0789600,0.0829800,0.0765100,0.0814000,325686037
1786222800000,0.0813900,0.1173400,0.0789200,0.0950900,709076186
1786226400000,0.0951300,0.1044900,0.0881000,0.1008300,544984769
1786230000000,0.1008400,0.1158800,0.0975200,0.1090700,610039559
1786233600000,0.1091000,0.1138000,0.0958000,0.1036100,605434208
1786237200000,0.1036200,0.1396300,0.1020300,0.1252600,799922726
1786240800000,0.1253000,0.1387800,0.1130800,0.1224600,476065492
1786244400000,0.1224600,0.1552200,0.1193800,0.1392400,627724053
1786248000000,0.1392200,0.1477400,0.1370000,0.1465500,307871627
1786251600000,0.1465600,0.1890000,0.1410000,0.1783900,831459085
1786255200000,0.1784000,0.1959800,0.1677700,0.1922400,612122060
1786258800000,0.1922400,0.3373300,0.0927000,0.1780800,3094191839
1786262400000,0.1780300,0.1943000,0.1353100,0.1823300,1089135230
1786266000000,0.1823200,0.1842400,0.1521200,0.1561000,466234264
1786269600000,0.1561000,0.1789200,0.1354500,0.1742000,768445937
1786273200000,0.1742200,0.1871700,0.1610000,0.1727100,422364197
1786276800000,0.1727200,0.1833300,0.1481600,0.1600500,405080123
1786280400000,0.1600600,0.1684100,0.1452300,0.1529100,414789710
1786284000000,0.1529400,0.1837300,0.1502800,0.1624600,470777927
