ts,open,high,low,close,volume
1747699200000,0.02756,0.02763,0.02751,0.02758,974635
1747699500000,0.02758,0.02766,0.02754,0.02766,1082549
1747699800000,0.02765,0.02767,0.02758,0.02766,494889
1747700100000,0.02765,0.02789,0.02765,0.02787,2445310
1747700400000,0.02786,0.02787,0.02752,0.02755,3270373
1747700700000,0.02755,0.02766,0.02742,0.02742,1588358
1747701000000,0.02743,0.02751,0.02726,0.02727,3683959
1747701300000,0.0273,0.0275,0.0273,0.02743,2089895
1747701600000,0.02744,0.02744,0.02727,0.02732,1202508
1747701900000,0.02733,0.02736,0.02716,0.02723,652626
1747702200000,0.02721,0.02724,0.02718,0.0272,919553
1747702500000,0.02719,0.0272,0.02713,0.02719,1066099
1747702800000,0.02717,0.02726,0.02711,0.02726,498649
1747703100000,0.02724,0.02733,0.02718,0.02729,606197
1747703400000,0.02728,0.02729,0.02722,0.02725,335781
1747703700000,0.02725,0.02731,0.0272,0.02729,960295
1747704000000,0.02729,0.02746,0.02729,0.02745,978818
1747704300000,0.02745,0.02746,0.02739,0.02744,474715
1747704600000,0.02745,0.02762,0.02745,0.02758,891670
1747704900000,0.02759,0.0278,0.02758,0.02777,1838189
1747705200000,0.02777,0.0278,0.0276,0.02761,732915
1747705500000,0.02761,0.02768,0.02751,0.02755,1030632
1747705800000,0.02756,0.02772,0.02756,0.02771,611083
1747706100000,0.02771,0.02777,0.02766,0.02766,1131745
1747706400000,0.02767,0.02808,0.02763,0.02801,6562832
1747706700000,0.02801,0.02812,0.02788,0.02795,2184092
1747707000000,0.02792,0.02798,0.02788,0.02796,1125125
1747707300000,0.02797,0.02809,0.02791,0.02808,1621255
1747707600000,0.02809,0.02817,0.02804,0.02814,2708734
1747707900000,0.02813,0.02814,0.02794,0.02799,1983093
1747708200000,0.02797,0.02806,0.02789,0.02798,1432293
1747708500000,0.02798,0.02803,0.0279,0.028,1562941
1747708800000,0.028,0.0281,0.02795,0.02795,1432296
1747709100000,0.02796,0.02803,0.02787,0.0279,2571758
1747709400000,0.02792,0.02803,0.02787,0.02789,874106
