ts,fundingRate
1742472000000,5e-05
1742486400000,5e-05
1742500800000,5e-05
1742515200000,5e-05
1742529600000,5e-05
1742544000000,5e-05
1742558400000,0.00040635
1742572800000,0.00026686
1742587200000,5e-05
1742601600000,5e-05
1742616000001,5e-05
1742630400004,5e-05
1742644800013,5e-05
1742659200000,5e-05
1742673600001,5e-05
1742688000000,5e-05
1742702400000,5e-05
1742716800000,5e-05
1742731200000,5e-05
1742745600000,5e-05
1742760000000,5e-05
1742774400000,5e-05
1742788800000,5e-05
1742803200000,5e-05
1742817600000,5e-05
1742832000000,5e-05
1742846400004,5e-05
1742860800001,5e-05
1742875200000,5e-05
1742889600000,5e-05
1742904000000,5e-05
1742918400000,5e-05
1742932800000,5e-05
1742947200000,5e-05
1742961600001,5e-05
1742976000000,5e-05
1742990400000,5e-05
1743004800001,5e-05
1743019200000,5e-05
1743033600001,5e-05
1743048000000,5e-05
1743062400001,5e-05
1743076800000,5e-05
1743091200002,5e-05
1743105600000,-0.02
1743120000001,-0.02
1743134400000,-0.01210724
1743148800001,-0.00133257
1743163200000,-0.00180451
1743177600000,-0.00148223
1743192000000,-2.773e-05
1743206400000,5e-05
1743220800001,5e-05
1743235200000,-0.00162904
1743249600000,-0.01230719
1743264000000,-0.0002108
1743278400000,5e-05
1743292800000,-3.052e-05
1743307200000,-3.707e-05
1743321600000,-0.00016828
1743336000000,-9.18e-06
1743350400000,-5.906e-05
1743364800000,5e-05
1743379200000,5e-05
1743393600000,5e-05
1743408000000,4.742e-05
1743422400000,5e-05
1743436800000,5e-05
1743451200000,5e-05
1743465600000,-4.773e-05
1743480000001,-3.927e-05
1743494400001,5e-05
1743508800000,5e-05
1743523200000,5e-05
1743537600003,5e-05
1743552000001,5e-05
1743566400001,5e-05
1743580800000,5e-05
1743595200002,4.873e-05
1743609600000,-1.466e-05
1743624000000,5e-05
1743638400000,5e-05
1743652800000,5e-05
1743667200000,5e-05
1743681600000,3.953e-05
1743696000000,5e-05
1743710400000,5e-05
1743724800000,5e-05
1743739200000,5e-05
1743753600000,-2.747e-05
1743768000000,5e-05
1743782400000,5e-05
1743796800001,5e-05
1743811200000,5e-05
1743825600000,5e-05
1743840000000,-0.00031921
1743854400000,-0.00012782
1743868800000,5e-05
1743883200000,5e-05
1743897600000,5e-05
1743912000000,5e-05
1743926400000,5e-05
1743940800001,5e-05
1743955200002,5e-05
1743969600001,5e-05
1743984000000,5e-05
1743998400000,5e-05
1744012800000,5e-05
1744027200000,5e-05
1744041600000,5e-05
1744056000000,5e-05
1744070400000,5e-05
1744084800000,5e-05
1744099200000,5e-05
1744113600000,3.168e-05
1744128000000,5e-05
1744142400000,5e-05
1744156800000,5e-05
1744171200000,2.532e-05
1744185600001,5e-05
1744200000000,5e-05
1744214400000,5e-05
1744228800000,5e-05
1744243200000,5e-05
1744257600000,-6.111e-05
1744272000000,-5.73e-06
1744286400000,-2.556e-05
1744300800000,5e-05
1744315200000,5e-05
1744329600001,5e-05
1744344000001,5e-05
1744358400000,5e-05
1744372800000,5e-05
1744387200000,4.628e-05
1744401600001,5e-05
1744416000000,-0.00011891
1744430400000,5e-05
1744444800001,5e-05
1744459200001,5e-05
1744473600000,5e-05
1744488000000,5e-05
1744502400000,5e-05
1744516800000,5e-05
1744531200000,5e-05
1744545600000,5e-05
1744560000000,5e-05
1744574400000,5e-05
1744588800000,-0.00016766
1744603200000,5e-05
1744617600000,5e-05
1744632000002,5e-05
1744646400000,5e-05
1744660800000,5e-05
1744675200000,5e-05
1744689600001,5e-05
1744704000000,5e-05
1744718400000,5e-05
1744732800001,5e-05
1744747200000,5e-05
