ts,oi
1760054400,525427651.0
1760054700,525390924.0
1760055000,525343445.0
1760055300,525311508.0
1760055600,525345569.0
1760055900,525373366.0
1760056200,525376146.0
1760056500,525321726.0
1760056800,525317356.0
1760057100,525326414.0
1760057400,525315713.0
1760057700,525283697.0
1760058000,525525884.0
1760058300,525502206.0
1760058600,525435233.0
1760058900,525435479.0
1760059200,525402530.0
1760059500,525399556.0
1760059800,525456211.0
1760060100,525408593.0
1760060400,525359804.0
1760060700,525400446.0
1760061000,525434354.0
1760061300,525358383.0
1760061600,525244632.0
1760061900,525171831.0
1760062200,525018281.0
1760062500,524958591.0
1760062800,524879312.0
1760063100,524743232.0
1760063400,524657962.0
1760063700,524690321.0
1760064000,524625815.0
1760064300,524642645.0
1760064600,524621838.0
1760064900,524639401.0
1760065200,524899719.0
1760065500,524817928.0
1760065800,524652680.0
1760066100,524658427.0
1760066400,524653089.0
1760066700,524634595.0
1760067000,524629561.0
1760067300,524585104.0
1760067600,524600249.0
1760067900,524524500.0
1760068200,524392384.0
1760068500,524373226.0
1760068800,524429415.0
1760069100,524417263.0
1760069400,524363307.0
1760069700,524276699.0
1760070000,524235321.0
1760070300,524296300.0
1760070600,524303651.0
1760070900,524230914.0
1760071200,524132096.0
1760071500,524087369.0
1760071800,524064937.0
1760072100,524051019.0
1760072400,523782569.0
1760072700,523733565.0
1760073000,523703543.0
1760073300,523598313.0
1760073600,523550123.0
1760073900,523545206.0
1760074200,523594034.0
1760074500,523598315.0
1760074800,523638225.0
1760075100,523587686.0
1760075400,523490732.0
1760075700,523511901.0
1760076000,523466817.0
1760076300,523416125.0
1760076600,523361309.0
1760076900,523355437.0
1760077200,524039377.0
1760077500,524026016.0
1760077800,524041836.0
1760078100,523940755.0
1760078400,524021938.0
1760078700,524005454.0
1760079000,524010901.0
1760079300,523895009.0
1760079600,523683926.0
1760079900,523613424.0
1760080200,523594354.0
1760080500,523572317.0
1760080800,523563447.0
1760081100,523506221.0
1760081400,523509533.0
1760081700,523494296.0
1760082000,523296632.0
1760082300,523263789.0
1760082600,523250436.0
1760082900,523031712.0
1760083200,522628404.0
1760083500,522510466.0
1760083800,522510705.0
1760084100,522262412.0
1760084400,521993855.0
1760084700,521758561.0
1760085000,521727973.0
1760085300,521731372.0
1760085600,521677389.0
1760085900,521396473.0
1760086200,521263720.0
1760086500,521202116.0
1760086800,520881271.0
1760087100,520871417.0
1760087400,520865231.0
1760087700,520850274.0
1760088000,520846457.0
1760088300,520821725.0
1760088600,520798841.0
1760088900,520672093.0
1760089200,520411998.0
