ts,open,high,low,close,volume
1742428800000,0.04939,0.06,0.04715,0.05099,133251300.0
1742432400000,0.05099,0.0526,0.04643,0.04925,65101300.0
1742436000000,0.04925,0.052,0.04703,0.05078,54791500.0
1742439600000,0.05078,0.05395,0.04934,0.04967,59378600.0
1742443200000,0.04967,0.05297,0.04856,0.05064,54802800.0
1742446800000,0.05064,0.05733,0.05055,0.05652,67534200.0
1742450400000,0.05652,0.06029,0.05241,0.05415,96418600.0
1742454000000,0.05415,0.05547,0.04487,0.0462,134248300.0
1742457600000,0.0462,0.04844,0.04042,0.04338,244097400.0
1742461200000,0.04338,0.0499,0.04257,0.04555,235213800.0
1742464800000,0.04555,0.047,0.04337,0.04572,120430400.0
1742468400000,0.04572,0.04759,0.0446,0.04563,81495000.0
1742472000000,0.04563,0.04788,0.04466,0.04659,58033700.0
1742475600000,0.04659,0.0473,0.04389,0.04462,68737900.0
1742479200000,0.04462,0.04486,0.03748,0.0381,131606700.0
1742482800000,0.0381,0.04005,0.0361,0.03756,115804900.0
1742486400000,0.03756,0.03782,0.0345,0.03663,80010700.0
1742490000000,0.03663,0.03751,0.03475,0.03656,49893900.0
1742493600000,0.03656,0.03753,0.03539,0.03684,23525800.0
1742497200000,0.03684,0.03832,0.03563,0.03643,30156900.0
1742500800000,0.03643,0.03701,0.03344,0.03394,39326600.0
1742504400000,0.03394,0.03454,0.03233,0.03409,33910000.0
1742508000000,0.03409,0.03509,0.03379,0.03439,19701300.0
1742511600000,0.03439,0.03616,0.03423,0.03565,20995300.0
1742515200000,0.03565,0.036,0.03365,0.03478,24049200.0
1742518800000,0.03478,0.03589,0.03375,0.03486,21823900.0
1742522400000,0.03486,0.03708,0.03459,0.0357,28854100.0
1742526000000,0.0357,0.03634,0.03506,0.03546,16458300.0
1742529600000,0.03546,0.03805,0.03525,0.03787,23894000.0
1742533200000,0.03787,0.03918,0.0361,0.0366,29430900.0
1742536800000,0.0366,0.03695,0.03525,0.03569,17289800.0
1742540400000,0.03569,0.03582,0.03319,0.03402,27540700.0
1742544000000,0.03402,0.03428,0.03132,0.03145,22005600.0
1742547600000,0.03145,0.03211,0.03075,0.03137,30206100.0
1742551200000,0.03137,0.03156,0.02902,0.02987,32942600.0
1742554800000,0.02987,0.02998,0.02843,0.02946,26623200.0
1742558400000,0.02946,0.03002,0.02895,0.0292,20908500.0
1742562000000,0.0292,0.02933,0.02772,0.02827,33630300.0
1742565600000,0.02827,0.02843,0.02665,0.02766,29903000.0
1742569200000,0.02766,0.02886,0.02713,0.02828,22017200.0
1742572800000,0.02828,0.03027,0.02716,0.02901,37606400.0
1742576400000,0.02901,0.03055,0.02901,0.02991,15960800.0
1742580000000,0.02991,0.03055,0.02913,0.0298,15730100.0
1742583600000,0.0298,0.03036,0.02946,0.0301,11146500.0
1742587200000,0.0301,0.03046,0.02918,0.02991,10458300.0
1742590800000,0.02991,0.03205,0.02984,0.03116,22782500.0
1742594400000,0.03116,0.03155,0.02991,0.03067,11521000.0
1742598000000,0.03067,0.03092,0.02874,0.02926,12310100.0
1742601600000,0.02926,0.03037,0.02696,0.02741,22641300.0
1742605200000,0.02741,0.02785,0.02666,0.02712,16780000.0
1742608800000,0.02712,0.02712,0.0258,0.02661,14075100.0
1742612400000,0.02661,0.02718,0.02627,0.02662,9204200.0
1742616000000,0.02662,0.02705,0.02654,0.0269,6189600.0
1742619600000,0.0269,0.02769,0.02671,0.02691,14742300.0
1742623200000,0.02691,0.02714,0.02628,0.0265,11020800.0
