ts,fundingRate
1784851200000,5e-05
1784865600000,5e-05
1784880000000,6.1e-05
1784894400000,0.000311
1784908800000,5e-05
1784923200000,5e-05
1784937600000,5e-05
1784952000000,5e-05
1784966400000,5e-05
1784980800000,5e-05
1784995200000,5e-05
1785009600000,5e-05
1785024000000,0.000122
1785038400000,6.8e-05
1785052800000,5e-05
1785067200000,5.3e-05
1785081600000,8.6e-05
1785096000000,0.000307
1785110400000,0.000139
1785124800000,0.000182
1785139200000,5e-05
1785153600000,5e-05
1785168000000,5e-05
1785182400000,5e-05
1785196800000,5e-05
1785211200000,5e-05
1785225600000,5e-05
1785240000000,0.000212
1785254400000,5e-05
1785268800000,5e-05
1785283200000,5e-05
1785297600000,5e-05
1785312000000,0.000206
1785326400000,5e-05
1785340800000,5e-05
1785355200000,5e-05
1785369600000,5e-05
1785384000000,5e-05
1785398400000,5e-05
1785412800000,5e-05
1785427200000,5e-05
1785441600000,5e-05
1785456000000,5e-05
1785470400000,5e-05
1785484800000,5e-05
1785499200000,5e-05
1785513600000,5e-05
1785528000000,5e-05
1785542400000,5e-05
1785556800000,5e-05
1785571200000,5e-05
1785585600000,5e-05
1785600000000,5e-05
1785614400000,5e-05
1785628800000,0.000248
1785643200000,5e-05
1785657600000,5e-05
1785672000000,5e-05
1785686400000,5e-05
1785700800000,5e-05
1785715200000,5e-05
1785729600000,5e-05
1785744000000,5e-05
1785758400000,5e-05
1785772800000,5e-05
1785787200000,0.000105
1785801600000,0.000151
1785816000000,5e-05
1785830400000,5e-05
1785844800000,5e-05
1785859200000,5e-05
1785873600000,5e-05
1785888000000,8.8e-05
1785902400000,5e-05
1785916800000,5e-05
1785931200000,5e-05
1785945600000,5e-05
1785960000000,5e-05
1785974400000,0.00014
1785988800000,6.4e-05
1786003200000,5e-05
1786017600000,5e-05
1786032000000,5e-05
1786046400000,5e-05
1786060800000,5e-05
1786075200000,5e-05
1786089600000,5e-05
1786104000000,5e-05
1786118400000,9.6e-05
1786132800000,0.000117
1786147200000,5e-05
1786161600000,9.5e-05
1786176000000,0.000667
1786190400000,0.001137
1786204800000,0.000937
1786219200000,5e-05
1786233600000,0.001954
1786248000000,0.002777
1786262400000,0.01875
1786276800000,0.007391
