start_ts,end_ts,dur_min,max_spread,spread_at_start,mean_spread,dir,oi_drop_pct,vol_spike_x,funding_spread,bn_px_change,bg_px_change,both_fell,diverged_further
1760130900000,1760133000000,35.0,0.0833,0.0108,0.0241,bn_premium,62.7,75.7,,-38.19,-38.18,1,0
1768167900000,1768169100000,20.0,0.011,0.011,0.0061,bn_premium,0.2,3.8,,-1.5,0.64,0,0
1769065800000,1769067000000,20.0,0.0112,0.0106,0.0106,bn_premium,-0.0,1.9,,0.06,0.0,0,1
1770329100000,1770330600000,25.0,0.0202,0.0111,0.0094,bn_premium,0.0,1.0,,0.0,-0.5,0,1
1770477600000,1770479700000,35.0,0.0122,0.0112,0.0109,bn_premium,-0.0,1.4,,0.0,0.0,0,0
1770634800000,1770637500000,45.0,0.0125,0.0116,0.0115,bn_premium,-0.1,2.9,,0.0,0.0,0,0
1770695400000,1770696900000,25.0,0.0214,0.0107,0.0157,bn_premium,0.0,1.4,,0.77,0.0,0,1
1770823200000,1770825900000,45.0,0.0111,0.0101,0.0087,bn_premium,0.3,0.6,,0.0,0.0,0,0
1771898700000,1771901700000,50.0,0.0122,0.0102,0.0098,bg_premium,-0.3,0.7,,-0.1,0.0,0,1
1771932600000,1771934400000,30.0,0.0113,0.0102,0.0101,bg_premium,0.2,3.7,,-0.1,0.0,0,1
1774560000000,1774561500000,25.0,0.0117,0.0105,0.0093,bn_premium,0.5,1.5,,0.12,0.0,0,1
1774703700000,1774705800000,35.0,0.0141,0.0105,0.0116,bn_premium,1.0,6.2,,-0.7,1.64,0,1
1779977400000,1779983400000,100.0,0.0201,0.0148,0.0128,bn_premium,0.6,5.0,,-0.31,0.0,0,0
1779985200000,1779990900000,95.0,0.0304,0.0126,0.0208,bn_premium,-0.4,3.8,,1.76,0.0,0,1
1780103100000,1780104600000,25.0,0.0175,0.0103,0.0135,bn_premium,-0.1,2.9,,0.71,0.0,0,1
1780264200000,1780267800000,60.0,0.0219,0.011,0.014,bn_premium,-0.1,4.7,,0.89,0.0,0,1
1780438500000,1780440000000,25.0,0.0122,0.0122,0.0099,bg_premium,0.5,2.2,,0.0,0.0,0,0
1780519200000,1780520700000,25.0,0.0186,0.0124,0.0125,bg_premium,-0.2,1.5,,0.63,-2.17,0,1
1780971300000,1780972500000,20.0,0.0106,0.0105,0.006,bg_premium,-0.6,4.3,,-1.25,-1.24,1,1
1781613900000,1781615400000,25.0,0.012,0.011,0.0057,bg_premium,0.3,1.6,,-0.83,-0.73,1,1
1782074400000,1782077400000,50.0,0.0283,0.0123,0.0199,bg_premium,0.0,5.0,,-1.15,0.0,0,1
1783081200000,1783084200000,50.0,0.0128,0.0101,0.0113,bg_premium,0.1,0.7,,-0.09,0.0,0,1
1783243500000,1783245300000,30.0,0.0189,0.0126,0.0156,bg_premium,0.4,6.0,,-0.55,0.0,0,1
1786253700000,1786257000000,55.0,0.0147,0.0136,0.0123,bg_premium,0.0,6.3,0.00273,2.88,2.71,0,0
1786258500000,1786269300000,180.0,0.1616,0.0101,0.0397,bg_premium,0.0,7.6,0.00273,-18.8,-18.61,1,1
1786272300000,1786287300000,250.0,0.0213,0.013,0.0132,bg_premium,0.0,1.8,0.0187,-2.05,-1.44,1,1
